Xerox4600,3,2,Toner Cart.,Drum Cart.
Xerox5550,5,3,Toner Cart.,Drum Cart.,Maint. Kit
Xerox6360,3,7,Cyan,Magenta,Yellow,Black,Imag. Unit,Fuser,Trans. Roller
CanonC5051,5,5,Black,Cyan,Magenta,Yellow,Waste
Canon6555,5,3,Black,Waste,Drum Unit
